DatePurchased,DayofWeek,Month
2025-01-01,Wednesday,January
2025-01-02,Thursday,January
2025-01-03,Friday,January
2025-01-04,Saturday,January
2025-01-05,Sunday,January
2025-01-06,Monday,January
2025-01-07,Tuesday,January
2025-01-08,Wednesday,January
2025-01-09,Thursday,January
2025-01-10,Friday,January
2025-01-11,Saturday,January
2025-01-12,Sunday,January
2025-01-13,Monday,January
2025-01-14,Tuesday,January
2025-01-15,Wednesday,January
2025-01-16,Thursday,January
2025-01-17,Friday,January
2025-01-18,Saturday,January
2025-01-19,Sunday,January
2025-01-20,Monday,January
2025-01-21,Tuesday,January
2025-01-22,Wednesday,January
2025-01-23,Thursday,January
2025-01-24,Friday,January
2025-01-25,Saturday,January
2025-01-26,Sunday,January
2025-01-27,Monday,January
2025-01-28,Tuesday,January
2025-01-29,Wednesday,January
2025-01-30,Thursday,January
2025-01-31,Friday,January
2025-02-01,Saturday,February
2025-02-02,Sunday,February
2025-02-03,Monday,February
2025-02-04,Tuesday,February
2025-02-05,Wednesday,February
2025-02-06,Thursday,February
2025-02-07,Friday,February
2025-02-08,Saturday,February
2025-02-09,Sunday,February
2025-02-10,Monday,February
2025-02-11,Tuesday,February
2025-02-12,Wednesday,February
2025-02-13,Thursday,February
2025-02-14,Friday,February
2025-02-15,Saturday,February
2025-02-16,Sunday,February
2025-02-17,Monday,February
2025-02-18,Tuesday,February
2025-02-19,Wednesday,February
2025-02-20,Thursday,February
2025-02-21,Friday,February
2025-02-22,Saturday,February
2025-02-23,Sunday,February
2025-02-24,Monday,February
2025-02-25,Tuesday,February
2025-02-26,Wednesday,February
2025-02-27,Thursday,February
2025-02-28,Friday,February
